start_time,end_time,low_freq,high_freq,event,detection_confidence,input_file
24.4825,24.4914,22890.0,31161.0,Echolocation,0.516,/Users/adityakrishna/Downloads/20210910_032600.WAV
24.4885,24.4982,39218.0,50675.0,Echolocation,0.575,/Users/adityakrishna/Downloads/20210910_032600.WAV
24.5335,24.5471,25468.0,30470.0,Echolocation,0.641,/Users/adityakrishna/Downloads/20210910_032600.WAV
24.5545,24.5612,40937.0,49553.0,Echolocation,0.52,/Users/adityakrishna/Downloads/20210910_032600.WAV
24.5955,24.6034,22890.0,31529.0,Echolocation,0.557,/Users/adityakrishna/Downloads/20210910_032600.WAV
24.6575,24.6636,40937.0,51813.0,Echolocation,0.507,/Users/adityakrishna/Downloads/20210910_032600.WAV
24.7025,24.7098,23750.0,34294.0,Echolocation,0.587,/Users/adityakrishna/Downloads/20210910_032600.WAV
24.8555,24.8701,24609.0,30101.0,Echolocation,0.541,/Users/adityakrishna/Downloads/20210910_032600.WAV
24.9935,25.0095,25468.0,30265.0,Echolocation,0.581,/Users/adityakrishna/Downloads/20210910_032600.WAV
25.1215,25.1353,25468.0,31880.0,Echolocation,0.558,/Users/adityakrishna/Downloads/20210910_032600.WAV
25.1755,25.19,22031.0,30007.0,Echolocation,0.648,/Users/adityakrishna/Downloads/20210910_032600.WAV
25.1945,25.2021,40078.0,54116.0,Echolocation,0.61,/Users/adityakrishna/Downloads/20210910_032600.WAV
25.2565,25.2717,25468.0,30112.0,Echolocation,0.581,/Users/adityakrishna/Downloads/20210910_032600.WAV
25.2735,25.2798,40078.0,52143.0,Echolocation,0.595,/Users/adityakrishna/Downloads/20210910_032600.WAV
25.3195,25.3327,22890.0,32784.0,Echolocation,0.684,/Users/adityakrishna/Downloads/20210910_032600.WAV
25.3865,25.4004,25468.0,32368.0,Echolocation,0.54,/Users/adityakrishna/Downloads/20210910_032600.WAV
25.4465,25.4563,38359.0,53336.0,Echolocation,0.552,/Users/adityakrishna/Downloads/20210910_032600.WAV
25.4655,25.4773,22890.0,30514.0,Echolocation,0.687,/Users/adityakrishna/Downloads/20210910_032600.WAV
25.5295,25.5435,25468.0,29921.0,Echolocation,0.573,/Users/adityakrishna/Downloads/20210910_032600.WAV
25.6405,25.6521,38359.0,52276.0,Echolocation,0.545,/Users/adityakrishna/Downloads/20210910_032600.WAV
25.6705,25.683,26328.0,31736.0,Echolocation,0.555,/Users/adityakrishna/Downloads/20210910_032600.WAV
25.7055,25.7231,22031.0,29742.0,Echolocation,0.658,/Users/adityakrishna/Downloads/20210910_032600.WAV
25.7315,25.7408,39218.0,52023.0,Echolocation,0.579,/Users/adityakrishna/Downloads/20210910_032600.WAV
25.8615,25.8766,22031.0,29450.0,Echolocation,0.689,/Users/adityakrishna/Downloads/20210910_032600.WAV
25.9315,25.9413,40078.0,51307.0,Echolocation,0.597,/Users/adityakrishna/Downloads/20210910_032600.WAV
25.9555,25.9706,25468.0,30932.0,Echolocation,0.548,/Users/adityakrishna/Downloads/20210910_032600.WAV
26.1305,26.1479,22031.0,28944.0,Echolocation,0.748,/Users/adityakrishna/Downloads/20210910_032600.WAV
26.1395,26.1484,40078.0,50371.0,Echolocation,0.536,/Users/adityakrishna/Downloads/20210910_032600.WAV
26.3495,26.3594,40078.0,50610.0,Echolocation,0.519,/Users/adityakrishna/Downloads/20210910_032600.WAV
26.4035,26.4254,21171.0,27698.0,Echolocation,0.65,/Users/adityakrishna/Downloads/20210910_032600.WAV
26.6595,26.6801,21171.0,28827.0,Echolocation,0.704,/Users/adityakrishna/Downloads/20210910_032600.WAV
26.6605,26.6699,40078.0,47651.0,Echolocation,0.506,/Users/adityakrishna/Downloads/20210910_032600.WAV
26.8815,26.8895,40078.0,47154.0,Echolocation,0.512,/Users/adityakrishna/Downloads/20210910_032600.WAV
26.9325,26.9487,21171.0,26078.0,Echolocation,0.561,/Users/adityakrishna/Downloads/20210910_032600.WAV
26.9365,26.9437,39218.0,51296.0,Echolocation,0.507,/Users/adityakrishna/Downloads/20210910_032600.WAV
27.0735,27.0853,40937.0,50681.0,Echolocation,0.574,/Users/adityakrishna/Downloads/20210910_032600.WAV
27.2125,27.2277,21171.0,25658.0,Echolocation,0.621,/Users/adityakrishna/Downloads/20210910_032600.WAV
27.2965,27.3034,41796.0,60024.0,Echolocation,0.602,/Users/adityakrishna/Downloads/20210910_032600.WAV
27.3225,27.3363,25468.0,30437.0,Echolocation,0.534,/Users/adityakrishna/Downloads/20210910_032600.WAV
27.3825,27.3905,40078.0,49400.0,Echolocation,0.591,/Users/adityakrishna/Downloads/20210910_032600.WAV
27.4715,27.4804,40078.0,59667.0,Echolocation,0.515,/Users/adityakrishna/Downloads/20210910_032600.WAV
27.5695,27.5803,38359.0,47433.0,Echolocation,0.574,/Users/adityakrishna/Downloads/20210910_032600.WAV
27.6625,27.6713,40078.0,63325.0,Echolocation,0.61,/Users/adityakrishna/Downloads/20210910_032600.WAV
27.6855,27.7004,21171.0,25493.0,Echolocation,0.665,/Users/adityakrishna/Downloads/20210910_032600.WAV
27.7605,27.7707,39218.0,47305.0,Echolocation,0.536,/Users/adityakrishna/Downloads/20210910_032600.WAV
27.8535,27.8638,40078.0,61563.0,Echolocation,0.621,/Users/adityakrishna/Downloads/20210910_032600.WAV
27.9385,27.9558,21171.0,28393.0,Echolocation,0.723,/Users/adityakrishna/Downloads/20210910_032600.WAV
27.9605,27.97,39218.0,45848.0,Echolocation,0.556,/Users/adityakrishna/Downloads/20210910_032600.WAV
28.0605,28.0704,38359.0,58336.0,Echolocation,0.583,/Users/adityakrishna/Downloads/20210910_032600.WAV
28.1645,28.1742,39218.0,47209.0,Echolocation,0.619,/Users/adityakrishna/Downloads/20210910_032600.WAV
28.2645,28.2739,38359.0,58829.0,Echolocation,0.604,/Users/adityakrishna/Downloads/20210910_032600.WAV
28.3605,28.3702,38359.0,52402.0,Echolocation,0.621,/Users/adityakrishna/Downloads/20210910_032600.WAV
28.3955,28.4072,26328.0,34991.0,Echolocation,0.614,/Users/adityakrishna/Downloads/20210910_032600.WAV
28.4785,28.495,21171.0,26748.0,Echolocation,0.62,/Users/adityakrishna/Downloads/20210910_032600.WAV
28.5555,28.5644,38359.0,54665.0,Echolocation,0.607,/Users/adityakrishna/Downloads/20210910_032600.WAV
28.6355,28.6439,40078.0,59585.0,Echolocation,0.652,/Users/adityakrishna/Downloads/20210910_032600.WAV
28.6815,28.6958,25468.0,29939.0,Echolocation,0.558,/Users/adityakrishna/Downloads/20210910_032600.WAV
28.7615,28.78,21171.0,28418.0,Echolocation,0.56,/Users/adityakrishna/Downloads/20210910_032600.WAV
28.8255,28.8354,40078.0,56535.0,Echolocation,0.607,/Users/adityakrishna/Downloads/20210910_032600.WAV
28.8255,28.8397,24609.0,32693.0,Echolocation,0.61,/Users/adityakrishna/Downloads/20210910_032600.WAV
28.9145,28.9254,38359.0,46962.0,Echolocation,0.52,/Users/adityakrishna/Downloads/20210910_032600.WAV
29.0155,29.0255,40078.0,53773.0,Echolocation,0.573,/Users/adityakrishna/Downloads/20210910_032600.WAV
29.0505,29.0689,21171.0,27485.0,Echolocation,0.638,/Users/adityakrishna/Downloads/20210910_032600.WAV
29.2185,29.2293,40078.0,55396.0,Echolocation,0.67,/Users/adityakrishna/Downloads/20210910_032600.WAV
29.4195,29.4349,24609.0,31458.0,Echolocation,0.552,/Users/adityakrishna/Downloads/20210910_032600.WAV
29.4205,29.4303,40078.0,48955.0,Echolocation,0.503,/Users/adityakrishna/Downloads/20210910_032600.WAV
29.5325,29.5494,24609.0,30972.0,Echolocation,0.547,/Users/adityakrishna/Downloads/20210910_032600.WAV
29.6125,29.622,40078.0,54949.0,Echolocation,0.531,/Users/adityakrishna/Downloads/20210910_032600.WAV
29.7145,29.7272,26328.0,33619.0,Echolocation,0.594,/Users/adityakrishna/Downloads/20210910_032600.WAV
29.7575,29.7689,22031.0,28000.0,Echolocation,0.543,/Users/adityakrishna/Downloads/20210910_032600.WAV
29.8675,29.8832,24609.0,28996.0,Echolocation,0.612,/Users/adityakrishna/Downloads/20210910_032600.WAV
29.9525,29.9657,24609.0,29863.0,Echolocation,0.533,/Users/adityakrishna/Downloads/20210910_032600.WAV
30.1735,30.1883,25468.0,32411.0,Echolocation,0.614,/Users/adityakrishna/Downloads/20210910_032600.WAV
30.3445,30.3608,24609.0,29108.0,Echolocation,0.587,/Users/adityakrishna/Downloads/20210910_032600.WAV
30.5135,30.5258,25468.0,34261.0,Echolocation,0.521,/Users/adityakrishna/Downloads/20210910_032600.WAV
30.6455,30.6594,24609.0,31112.0,Echolocation,0.676,/Users/adityakrishna/Downloads/20210910_032600.WAV
30.8055,30.8185,25468.0,32798.0,Echolocation,0.672,/Users/adityakrishna/Downloads/20210910_032600.WAV
30.9135,30.9296,21171.0,27540.0,Echolocation,0.552,/Users/adityakrishna/Downloads/20210910_032600.WAV
30.9565,30.973300000000002,24609.0,30359.0,Echolocation,0.581,/Users/adityakrishna/Downloads/20210910_032600.WAV
31.1295,31.144,25468.0,29673.0,Echolocation,0.578,/Users/adityakrishna/Downloads/20210910_032600.WAV
31.1725,31.1857,21171.0,28180.0,Echolocation,0.557,/Users/adityakrishna/Downloads/20210910_032600.WAV
31.2345,31.2473,25468.0,32896.0,Echolocation,0.643,/Users/adityakrishna/Downloads/20210910_032600.WAV
31.3925,31.4066,24609.0,30682.0,Echolocation,0.672,/Users/adityakrishna/Downloads/20210910_032600.WAV
31.4125,31.4231,25468.0,32560.0,Echolocation,0.533,/Users/adityakrishna/Downloads/20210910_032600.WAV
31.674500000000002,31.6887,23750.0,30910.0,Echolocation,0.594,/Users/adityakrishna/Downloads/20210910_032600.WAV
31.7695,31.7814,25468.0,34237.0,Echolocation,0.652,/Users/adityakrishna/Downloads/20210910_032600.WAV
31.8405,31.8517,25468.0,35898.0,Echolocation,0.63,/Users/adityakrishna/Downloads/20210910_032600.WAV
31.9215,31.9314,27187.0,36031.0,Echolocation,0.566,/Users/adityakrishna/Downloads/20210910_032600.WAV
32.0175,32.0267,27187.0,35115.0,Echolocation,0.567,/Users/adityakrishna/Downloads/20210910_032600.WAV
32.1005,32.1081,26328.0,34805.0,Echolocation,0.576,/Users/adityakrishna/Downloads/20210910_032600.WAV
32.1475,32.1591,24609.0,32070.0,Echolocation,0.632,/Users/adityakrishna/Downloads/20210910_032600.WAV
32.1775,32.1845,25468.0,36050.0,Echolocation,0.561,/Users/adityakrishna/Downloads/20210910_032600.WAV
32.6475,32.661500000000004,25468.0,32790.0,Echolocation,0.614,/Users/adityakrishna/Downloads/20210910_032600.WAV
32.7095,32.7215,24609.0,29445.0,Echolocation,0.528,/Users/adityakrishna/Downloads/20210910_032600.WAV
32.7685,32.7818,25468.0,33177.0,Echolocation,0.56,/Users/adityakrishna/Downloads/20210910_032600.WAV
32.8925,32.9054,26328.0,34137.0,Echolocation,0.644,/Users/adityakrishna/Downloads/20210910_032600.WAV
33.0255,33.0371,24609.0,30473.0,Echolocation,0.628,/Users/adityakrishna/Downloads/20210910_032600.WAV
33.1755,33.1909,24609.0,35545.0,Echolocation,0.59,/Users/adityakrishna/Downloads/20210910_032600.WAV
33.3475,33.3627,24609.0,31356.0,Echolocation,0.56,/Users/adityakrishna/Downloads/20210910_032600.WAV
33.6015,33.6151,24609.0,32224.0,Echolocation,0.646,/Users/adityakrishna/Downloads/20210910_032600.WAV
33.7345,33.747,24609.0,29636.0,Echolocation,0.649,/Users/adityakrishna/Downloads/20210910_032600.WAV
